Fecha_emision;Numero;Codigo_articulo;Articulo;Presentacion;Precio_UNitario_con_iva
13/3/2025;1314;295;Hidrofugo x 200 lts;Unidad;155.954,01
13/3/2025;1314;116;Cemento Normal x 50 kg;Unidad;11.922,63
13/3/2025;1314;88;Cal Hidratada x 25 kg;Unidad;6.078,11
12/3/2025;1305;560;Placa de Yeso STD 1200x2400x12,5 x un;Unidad;13.062,69
12/3/2025;1305;1652;Buña Perimetral 15 x 8.5 x 2.600 mm;Unidad;2.912,45
12/3/2025;1305;381;Masilla LPU Balde x 32 kg;Unidad;15.886,07
12/3/2025;1305;135;Cinta Microperf Nacional x 150 m;Unidad;7.995,63
12/3/2025;1305;1845;Masilla Secado Rápido Bolsa x 20 kg;Unidad;33.107,58
12/3/2025;1305;725;Tornillo T2 Pta Aguja x un;Unidad;14,00399204
12/3/2025;1305;1904;- Corrección por redondeo -;Unidad;10,67673176
10/3/2025;1307;434;Pastina Impermeable x 2 kg;Unidad;8.827,09
10/3/2025;1307;434;Pastina Impermeable x 2 kg;Unidad;8.816,23
10/3/2025;1307;439;Pegamento HCCA p/ Bloques x 30 kg;Unidad;14.257,64
10/3/2025;1308;319;Ladrillo Ceramico 8 x 18 x 33 cm x un;Unidad;600,5387602
10/3/2025;1308;318;Ladrillo Ceramico 18 x 18 x 33 cm x un;Unidad;1024,86271
10/3/2025;1309;302;Hierro Nerv Ø6mm x 12 mts;Unidad;4.657,32
10/3/2025;1309;303;Hierro Nerv Ø8mm x 12 mts;Unidad;7.906,88
10/3/2025;1309;296;Hierro Nerv Ø10mm x 12 mts;Unidad;12.331,12
10/3/2025;1309;297;Hierro Nerv Ø12mm x 12 mts;Unidad;17.665,55
10/3/2025;1309;299;Hierro Nerv Ø20mm x 12 mts;Unidad;48.076,38
7/3/2025;1298;403;Membrana Asfaltica No Krack 4 mm x 10 mts;Unidad;63.674,47
7/3/2025;1298;325;Lana de Vidrio Aislante c/ Papel  x 20mts;Unidad;92.781,84
7/3/2025;1298;116;Cemento Normal x 50 kg;Unidad;11.620,58
7/3/2025;1299;442;Pegamento p/ Porcelanato x 30 kg;Unidad;15.638,37
7/3/2025;1303;1864;Mezcla de asiento Listo x 3 kg;Unidad;9.638,17
7/3/2025;1300;320;Ladrillo Comun x un;Unidad;216,6221731
5/3/2025;1310;33;Arena x m3;metro 3;10.185,40
5/3/2025;1310;213;Flete;Unidad;23.129,58
3/3/2025;1295;73;Buña Listel Metalico Acero Inox Brillante x un;Unidad;21.889,89
2/3/2025;1294;213;Flete;Unidad;30.031,22
2/3/2025;1294;442;Pegamento p/ Porcelanato x 30 kg;Unidad;18.882,69
28/2/2025;1293;307;Hormigon H21 x m3;metro 3;175.883,99
27/2/2025;1301;307;Hormigon H21 x m3;metro 3;175.754,52
27/2/2025;1301;1850;Aditivo Superfluidificante p/ m3 x lts;lts;3.102,50
27/2/2025;1302;823;Adhesivo Sikadur 31 Bicomp x 1 kg;Unidad;53.336,41
27/2/2025;1304;140;"Clavo Pta Paris 2 1/2"" x kg";Kilos;2.720,68
25/2/2025;1288;318;Ladrillo Ceramico 18 x 18 x 33 cm x un;Unidad;1005,511759
24/2/2025;1287;110;Caño PVC Ø110 x 3,2 x 4mts;Unidad;16.447,11
24/2/2025;1287;1789;DESCUENTO;Unidad;59.171,28
19/2/2025;1285;296;Hierro Nerv Ø10mm x 12 mts;Unidad;12.020,25
19/2/2025;1285;297;Hierro Nerv Ø12mm x 12 mts;Unidad;17.226,99
19/2/2025;1285;298;Hierro Nerv Ø16mm x 12 mts;Unidad;30.001,35
19/2/2025;1285;299;Hierro Nerv Ø20mm x 12 mts;Unidad;46.872,77
19/2/2025;1286;17;Alambre Negro nº 16 x kg;Kilos;3.144,54
19/2/2025;1286;18;Alambre Negro nº 9 x kg;Kilos;2.985,59
17/2/2025;1282;115;Cemento Albañilería x 40 kg;Unidad;7.576,13
17/2/2025;1282;116;Cemento Normal x 50 kg;Unidad;9.359,98
14/2/2025;1281;1919;"Abrazadera PVC Ø75mm x 1"" JUNTAMAS";Unidad;6.914,85
14/2/2025;1283;223;Fusion Caño Ø25mm x 4 mts;Unidad;4.933,23
14/2/2025;1283;230;Fusion Cupla Ø20mm;Unidad;159,7216996
14/2/2025;1283;231;Fusion Cupla Ø25mm;Unidad;269,8780381
14/2/2025;1283;232;Fusion Cupla Ø32mm;Unidad;384,8632754
14/2/2025;1283;911;Fusion Cupla ?40mm;Unidad;854,6472512
14/2/2025;1283;225;Fusion Codo 90° Ø20mm;Unidad;210,9434845
14/2/2025;1283;226;Fusion Codo 90° Ø25mm;Unidad;355,4052923
14/2/2025;1283;227;Fusion Codo 90° Ø32mm;Unidad;498,1829859
14/2/2025;1283;228;Fusion Codo 90° Ø40mm;Unidad;1.066,83
14/2/2025;1283;238;Fusion Tee Ø20mm;Unidad;268,9748653
14/2/2025;1283;239;Fusion Tee Ø25mm;Unidad;513,0769717
14/2/2025;1283;240;Fusion Tee Ø32mm;Unidad;746,5899975
14/2/2025;1283;237;Fusion Tee 90° Ø40mm;Unidad;1.527,52
14/2/2025;1283;221;Fusion Buje Reduccion Ø25x20mm;Unidad;248,0286768
14/2/2025;1283;900;Fusion Buje Reduccion ?32 x ?20mm     ;Unidad;372,6913585
14/2/2025;1283;901;Fusion Buje Reduccion ?32 x ?25mm     ;Unidad;298,9101599
14/2/2025;1283;902;Fusion Buje Reduccion ?40 x ?25mm     ;Unidad;748,0185168
14/2/2025;1283;903;Fusion Buje Reduccion ?40 x ?32mm     ;Unidad;694,8646821
14/2/2025;1283;921;"Fusion Tubo Macho ?20mm x ?1/2""""    """;Unidad;1.653,08
14/2/2025;1283;1889;"Fusion Tubo Macho Ø20mm x Ø3/8""";Unidad;946,8585008
14/2/2025;1283;1890;"Fusion Tee c/ Rosca Ø20mm x Ø1/2""""";Unidad;1.604,33
14/2/2025;1283;1888;"Fusion Codo 90° Ø25mm x Ø3/4"""" c/ Inserto M";Unidad;2.335,87
14/2/2025;1283;1701;Fusion Codo 90 C/R  20 X 1/2;Unidad;1.123,05
14/2/2025;1283;1476;"Fusion Codo 90° Ø25mm x Ø3/4"""" c/ Inserto H";Unidad;1.663,68
14/2/2025;1283;234;Fusion Llave de Paso Ø20mm;Unidad;9.554,61
14/2/2025;1283;235;Fusion Llave de Paso Ø25mm;Unidad;10.386,93
14/2/2025;1283;912;Fusion Curva Sobrepaso ?20mm     ;Unidad;647,3644028
14/2/2025;1283;1477;Fusion Curva Sobrepaso Ø25mm;Unidad;869,0067911
14/2/2025;1283;1314;"PPN Tapon ?1/2""""";Unidad;129,8384811
14/2/2025;1283;1316;"PPN Tapon ?3/4""""";Unidad;141,2087051
14/2/2025;1283;224;Fusion Caño Ø32mm x 4 mts;Unidad;6.732,98
14/2/2025;1283;905;Fusion Caño 40mm x 4 mts;Unidad;10.098,74
14/2/2025;1283;112;Caño PVC Ø50 x 3,2 x 4mts;Unidad;5.435,25
14/2/2025;1283;1436;Caño PVC Ø63 x 3,2 x 4mts;Unidad;6.809,18
14/2/2025;1283;110;Caño PVC Ø110 x 3,2 x 4mts;Unidad;12.516,22
14/2/2025;1283;1003;PVC Codo a 45? MH ?40 3,2 Awaduct;Unidad;287,1319208
14/2/2025;1283;1005;PVC Codo a 45? MH ?63 3,2 Awaduct;Unidad;632,3726699
14/2/2025;1283;1002;PVC Codo a 45? MH ?110 3,2 Awaduct;Unidad;1.361,77
14/2/2025;1283;1014;PVC Codo a 90? MH ?63 3,2 Awaduct;Unidad;664,9931989
14/2/2025;1283;1008;PVC Codo a 90? HH ?40 3,2 Awaduct;Unidad;408,188604
14/2/2025;1283;1009;PVC Codo a 90? HH ?50 3,2 Awaduct;Unidad;536,3237866
14/2/2025;1283;1646;PVC CODO 90 C/ ACOM. 110 X 63;Unidad;3.061,13
14/2/2025;1283;1887;PVC Cupla Corrediza HH Ø40mm;Unidad;433,0752143
14/2/2025;1283;1740;PVC- Cupla Corrediza HH 63MM;Unidad;676,1572893
14/2/2025;1283;1739;PVC- Cupla Corrediza HH 110 MM;Unidad;1.402,87
14/2/2025;1283;1032;PVC Ramal 90? MH ?110 x ?63 3,2 Awaduct;Unidad;2.123,35
14/2/2025;1283;1037;PVC Ramal Y MH ?110 x ?110 3,2 Awaduct;Unidad;4.483,83
14/2/2025;1283;1831;PVC Ramal Y MH Ø40x 40 3,2 Awaduct;Unidad;1.202,55
14/2/2025;1283;111;Caño PVC Ø40 x 3,2 x 4mts;Unidad;4.442,86
14/2/2025;1283;616;PVC Ramal Y Ø110 x 3,2;Unidad;3.104,07
14/2/2025;1283;1335;PVC Ramal Y MH ?110 x ?63 3,2 Awaduct;Unidad;2.208,05
14/2/2025;1283;991;PVC Boca de Acceso 90? ?110 x ?63 3,2 Awaduct;Unidad;2.850,14
14/2/2025;1283;1647;PVC Pileta de Patio 5 x 40 Baja Perf.;Unidad;4.557,04
14/2/2025;1283;1443;PVC Tapa Hembra Ø40;Unidad;149,4168264
14/2/2025;1283;1442;PVC Tapa Hembra Ø50;Unidad;205,1174621
14/2/2025;1283;1441;PVC Tapa Hembra Ø63;Unidad;270,1815011
14/2/2025;1283;1440;PVC Tapa Hembra Ø110;Unidad;372,3257742
14/2/2025;1283;1601;Solucion Lubricante x 400cc;Unidad;5.157,45
14/2/2025;1283;1042;PVC Sifon p/ Lavar y Lavavajillas 3,2 Awaduct;Unidad;9.444,02
14/2/2025;1283;222;Fusion Caño Ø20mm x 4 mts;Unidad;3.330,82
14/2/2025;1283;1904;- Corrección por redondeo -;Unidad;-649,0773493
14/2/2025;1284;1881;PVC Hidraulico Caño Ø32mm K10 x 6mts;Unidad;7.260,33
14/2/2025;1284;1885;PVC Hidraulico Buje Reduccion Ø40mm x Ø32mm;Unidad;266,1881345
14/2/2025;1284;1884;PVC Hidraulico Codo 45° Ø32mm;Unidad;633,3391096
14/2/2025;1284;1883;PVC Hidraulico Codo 90° Ø32mm;Unidad;520,2649299
14/2/2025;1284;1882;PVC Hidraulico Tee Ø32mm;Unidad;790,0161645
14/2/2025;1284;4;Adhesivo PVC x 1000 cc;Unidad;21.840,74
14/2/2025;1284;213;Flete;Unidad;10.044,45
14/2/2025;1292;33;Arena x m3;metro 3;9.819,28
14/2/2025;1292;213;Flete;Unidad;26.997,71
14/2/2025;1280;1864;Mezcla de asiento Listo x 3 kg;Unidad;9.045,82
12/2/2025;1289;307;Hormigon H21 x m3;metro 3;170.131,43
12/2/2025;1289;827;Acelerante de Frague Sika 2;Unidad;4.084,11
12/2/2025;1289;24;Alquiler Bomba hormigon x hrs;Horas;4.782,30
12/2/2025;1289;971;Hormigon H8 x m3;metro 3;166.215,25
12/2/2025;1289;24;Alquiler Bomba hormigon x hrs;Horas;4.780,53
12/2/2025;1289;1851;Traslado de bomba p/ Hormigon x un;Unidad;477.965,99
12/2/2025;1289;1850;Aditivo Superfluidificante p/ m3 x lts;lts;3.002,07
11/2/2025;1277;1318;"PPN Union Doble ?1"""" """;Unidad;1.654,41
11/2/2025;1277;1374;"Valvula Esferica ?1"""" """;Unidad;3.184,70
11/2/2025;1277;1151;"Espiga Polietileno c/ Rosca M Polietileno ?1"""" x un""";Unidad;263,3075562
11/2/2025;1277;1917;Abrazadera Acero Inox hasta 32Ømm;Unidad;478,8912777
11/2/2025;1277;1754;Caja Unificada P/ Medidor Vereda;Unidad;11.970,48
11/2/2025;1277;1918;"Espiga Bronce Conica Ø1"" p/ Llave de Paso Vereda";Unidad;30.703,67
11/2/2025;1277;398;Medidor P/ Agua 5 m3 x un;Unidad;93.556,05
11/2/2025;1277;1903;"Canilla metálica esférica 1/2""";Unidad;3.562,16
10/2/2025;1276;442;Pegamento p/ Porcelanato x 30 kg;Unidad;15.043,93
10/2/2025;1276;213;Flete;Unidad;23.500,77
10/2/2025;1272;88;Cal Hidratada x 25 kg;Unidad;6.873,02
10/2/2025;1272;116;Cemento Normal x 50 kg;Unidad;12.962,49
10/2/2025;1272;724;Tornillo T1 Pta Mecha x un;Unidad;20,83598691
10/2/2025;1274;116;Cemento Normal x 50 kg;Unidad;10.471,61
10/2/2025;1274;115;Cemento Albañilería x 40 kg;Unidad;8.223,21
7/2/2025;1291;116;Cemento Normal x 50 kg;Unidad;9.106,93
7/2/2025;1291;297;Hierro Nerv Ø12mm x 12 mts;Unidad;16.645,03
6/2/2025;1267;17;Alambre Negro nº 16 x kg;Kilos;3.297,38
6/2/2025;1266;140;"Clavo Pta Paris 2 1/2"" x kg";Kilos;2.977,11
6/2/2025;1266;141;"Clavo Pta Paris 2"" x kg";Kilos;3.120,42
6/2/2025;1268;320;Ladrillo Comun x un;Unidad;207,6054316
6/2/2025;1275;17;Alambre Negro nº 16 x kg;Kilos;3.492,97
6/2/2025;1275;18;Alambre Negro nº 9 x kg;Kilos;3.317,85
6/2/2025;1275;140;"Clavo Pta Paris 2 1/2"" x kg";Kilos;2.990,58
5/2/2025;1265;441;Pegamento p/ Ceramicos x 30 kg;Unidad;12.062,49
4/2/2025;1264;84;Caja PVC p/ Embutir Cuadrada P/ Electricidad;Unidad;999,4766593
4/2/2025;1264;1911;Caja PVC p/ Embutir Cuadrada chica (mignon 5x5) P/ Electricidad;Unidad;407,5310941
4/2/2025;1264;86;Caja PVC p/ Embutir Rectangular P/ Electricidad;Unidad;400,2869071
4/2/2025;1264;970;Gancho Centro 3/16 ;Unidad;202,6369816
4/2/2025;1264;145;Conector PVC p/ Tubo Semi Pesado 20mm;Unidad;136,0813899
4/2/2025;1264;778;Union PVC p/ Tubo Semi Pesado 20mm;Unidad;100,787767
4/2/2025;1264;775;Tubo PVC p/ Luz Semi Pesado 25mm x 3mts;Unidad;2.241,22
4/2/2025;1264;779;Union PVC p/ Tubo Semi Pesado 25mm;Unidad;146,1043412
4/2/2025;1264;774;Tubo PVC p/ Luz Semi Pesado 20mm x 3mts;Unidad;1.586,79
4/2/2025;1264;1904;- Corrección por redondeo -;Unidad;-208,7752516
4/2/2025;1278;33;Arena x m3;metro 3;9.750,01
4/2/2025;1278;213;Flete;Unidad;26.809,20
31/1/2025;1261;202;Fenolico Industrial 1,22 x 2,44 mts x un;Unidad;39.076,25
31/1/2025;1261;1904;- Corrección por redondeo -;Unidad;-0,040274407
31/1/2025;1259;774;Tubo PVC p/ Luz Semi Pesado 20mm x 3mts;Unidad;1.585,61
31/1/2025;1259;84;Caja PVC p/ Embutir Cuadrada P/ Electricidad;Unidad;997,5577284
31/1/2025;1259;1866;Caja Preinstalación p/ Desague Horiz/ Vert 39 x 11;Unidad;3.384,85
31/1/2025;1259;1904;- Corrección por redondeo -;Unidad;0,634018608
31/1/2025;1260;710;Tirante de madera Varios x mts;mts;1.542,46
31/1/2025;1260;1388;"Tabla de Saligna de 1""x6"" x mts";mts;1.028,19
31/1/2025;1260;202;Fenolico Industrial 1,22 x 2,44 mts x un;Unidad;33.038,88
31/1/2025;1260;1904;- Corrección por redondeo -;Unidad;-1,730172506
31/1/2025;1279;318;Ladrillo Ceramico 18 x 18 x 33 cm x un;Unidad;1.151,80
31/1/2025;1279;115;Cemento Albañilería x 40 kg;Unidad;8.432,38
31/1/2025;1279;295;Hidrofugo x 200 lts;Unidad;142.591,53
31/1/2025;1279;1904;- Corrección por redondeo -;Unidad;2,543828496
29/1/2025;1257;302;Hierro Nerv Ø6mm x 12 mts;Unidad;4.165,70
29/1/2025;1257;303;Hierro Nerv Ø8mm x 12 mts;Unidad;7.080,52
29/1/2025;1257;296;Hierro Nerv Ø10mm x 12 mts;Unidad;11.052,78
29/1/2025;1257;297;Hierro Nerv Ø12mm x 12 mts;Unidad;15.838,60
29/1/2025;1257;298;Hierro Nerv Ø16mm x 12 mts;Unidad;27.606,90
29/1/2025;1257;299;Hierro Nerv Ø20mm x 12 mts;Unidad;43.153,11
29/1/2025;1257;300;Hierro Nerv Ø25mm x 12 mts;Unidad;67.255,96
29/1/2025;1257;1904;- Corrección por redondeo -;Unidad;-1,336136467
21/1/2025;1262;442;Pegamento p/ Porcelanato x 30 kg;Unidad;14.603,48
21/1/2025;1262;73;Buña Listel Metalico Acero Inox Brillante x un;Unidad;19.646,71
21/1/2025;1262;213;Flete;Unidad;32.025,34
20/1/2025;1237;222;Fusion Caño Ø20mm x 4 mts;Unidad;4.269,06
20/1/2025;1237;230;Fusion Cupla Ø20mm;Unidad;203,6334586
20/1/2025;1237;225;Fusion Codo 90° Ø20mm;Unidad;270,6212317
20/1/2025;1237;239;Fusion Tee Ø25mm;Unidad;659,7520936
20/1/2025;1237;242;Fusion Tee Reduccion Ø25 x Ø20mm;Unidad;639,0700939
20/1/2025;1237;913;Fusion Tee ?40mm     ;Unidad;1.966,01
20/1/2025;1237;902;Fusion Buje Reduccion ?40 x ?25mm     ;Unidad;963,5811726
20/1/2025;1237;1280;"Omega Galva p/ Caño 1/2""";Unidad;167,8606941
20/1/2025;1237;907;"Fusion Codo 90º Ø20mm x 1/2"" c/ Inserto H";Unidad;1.450,27
20/1/2025;1237;1903;"Canilla metálica esférica 1/2""";Unidad;3.180,80
20/1/2025;1237;1164;"Flexible Cromo ?1/2"""" x 30 cm x un""";Unidad;6.730,06
20/1/2025;1237;1904;- Corrección por redondeo -;Unidad;0,290916677
17/1/2025;1235;1820;Malla de Fibra 90 grs x 50 mts x un;Unidad;43.985,05
16/1/2025;1270;33;Arena x m3;metro 3;7.142,07
16/1/2025;1270;33;Arena x m3;metro 3;7.137,79
16/1/2025;1270;213;Flete;Unidad;18.898,56
16/1/2025;1270;213;Flete;Unidad;18.896,90
16/1/2025;1273;33;Arena x m3;metro 3;9.705,43
16/1/2025;1273;213;Flete;Unidad;26.687,61
16/1/2025;1271;116;Cemento Normal x 50 kg;Unidad;12.857,59
15/1/2025;1230;816;Yeso Monocapa Proyectable x 30kg;Unidad;8.615,96
15/1/2025;1230;1563;Yeso Tradicional x 40 kg;Unidad;6.515,45
15/1/2025;1231;302;Hierro Nerv Ø6mm x 12 mts;Unidad;5.024,67
15/1/2025;1231;303;Hierro Nerv Ø8mm x 12 mts;Unidad;8.540,74
15/1/2025;1231;296;Hierro Nerv Ø10mm x 12 mts;Unidad;13.332,53
15/1/2025;1231;297;Hierro Nerv Ø12mm x 12 mts;Unidad;19.105,95
15/1/2025;1231;298;Hierro Nerv Ø16mm x 12 mts;Unidad;33.302,74
15/1/2025;1231;299;Hierro Nerv Ø20mm x 12 mts;Unidad;52.057,67
15/1/2025;1231;300;Hierro Nerv Ø25mm x 12 mts;Unidad;81.136,01
15/1/2025;1233;33;Arena x m3;metro 3;15.028,44
14/1/2025;1232;141;"Clavo Pta Paris 2"" x kg";Kilos;3.035,62
14/1/2025;1232;17;Alambre Negro nº 16 x kg;Kilos;3.381,04
14/1/2025;1232;116;Cemento Normal x 50 kg;Unidad;10.379,11
14/1/2025;1232;302;Hierro Nerv Ø6mm x 12 mts;Unidad;5.025,06
14/1/2025;1232;18;Alambre Negro nº 9 x kg;Kilos;3.211,22
14/1/2025;1232;140;"Clavo Pta Paris 2 1/2"" x kg";Kilos;2.894,66
13/1/2025;1229;59;Bloque Brimax de HCCA 60x20x5;Unidad;1.606,82
13/1/2025;1229;403;Membrana Asfaltica No Krack 4 mm x 10 mts;Unidad;57.377,53
9/1/2025;1228;307;Hormigon H21 x m3;metro 3;167.973,21
9/1/2025;1228;827;Acelerante de Frague Sika 2;Unidad;4.032,77
9/1/2025;1228;1897;Hormigon Mortero 1-3 x m3;metro 3;174.497,22
9/1/2025;1228;1851;Traslado de bomba p/ Hormigon x un;Unidad;472.237,41
9/1/2025;1228;24;Alquiler Bomba hormigon x hrs;Horas;4.722,03
9/1/2025;1228;1850;Aditivo Superfluidificante p/ m3 x lts;lts;2.966,19
7/1/2025;1227;442;Pegamento p/ Porcelanato x 30 kg;Unidad;14.545,14
7/1/2025;1227;73;Buña Listel Metalico Acero Inox Brillante x un;Unidad;19.568,81
7/1/2025;1227;213;Flete;Unidad;31.899,31
27/12/2024;1221;18;Alambre Negro nº 9 x kg;Kilos;3.158,27
27/12/2024;1221;17;Alambre Negro nº 16 x kg;Kilos;3.324,26
27/12/2024;1221;116;Cemento Normal x 50 kg;Unidad;10.366,20
27/12/2024;1221;140;"Clavo Pta Paris 2 1/2"" x kg";Kilos;2.846,55
23/12/2024;1219;223;Fusion Caño Ø25mm x 4 mts;Unidad;6.017,73
23/12/2024;1219;905;Fusion Caño 40mm x 4 mts;Unidad;12.545,53
23/12/2024;1219;1860;Fusion Caño Ø50mm x 4 mts;Unidad;17.758,85
23/12/2024;1219;225;Fusion Codo 90° Ø20mm;Unidad;264,2093706
23/12/2024;1219;226;Fusion Codo 90° Ø25mm;Unidad;445,3550448
23/12/2024;1219;228;Fusion Codo 90° Ø40mm;Unidad;1.338,51
23/12/2024;1219;229;Fusion Codo 90° Ø50mm;Unidad;2.503,24
23/12/2024;1219;907;"Fusion Codo 90º Ø20mm x 1/2"" c/ Inserto H";Unidad;1.416,32
23/12/2024;1219;1476;"Fusion Codo 90° Ø25mm x Ø3/4"""" c/ Inserto H";Unidad;2.097,92
23/12/2024;1219;1888;"Fusion Codo 90° Ø25mm x Ø3/4"""" c/ Inserto M";Unidad;2.945,45
23/12/2024;1219;921;"Fusion Tubo Macho ?20mm x ?1/2""""    """;Unidad;2.080,04
23/12/2024;1219;920;"Fusion Tubo Hembra ?20mm x ?3/8""""    """;Unidad;1.192,11
23/12/2024;1219;1890;"Fusion Tee c/ Rosca Ø20mm x Ø1/2""""";Unidad;2.021,94
23/12/2024;1219;912;Fusion Curva Sobrepaso ?20mm     ;Unidad;1.207,05
23/12/2024;1219;238;Fusion Tee Ø20mm;Unidad;336,9468194
23/12/2024;1219;239;Fusion Tee Ø25mm;Unidad;643,6809622
23/12/2024;1219;914;Fusion Tee ?50mm     ;Unidad;3.482,21
23/12/2024;1219;231;Fusion Cupla Ø25mm;Unidad;336,8846826
23/12/2024;1219;1628;Fusion cupla 50 mm;Unidad;1.694,38
23/12/2024;1219;221;Fusion Buje Reduccion Ø25x20mm;Unidad;309,1972486
23/12/2024;1219;234;Fusion Llave de Paso Ø20mm;Unidad;12.500,23
23/12/2024;1219;235;Fusion Llave de Paso Ø25mm;Unidad;13.102,72
23/12/2024;1219;1314;"PPN Tapon ?1/2""""";Unidad;73,70795537
23/12/2024;1219;1316;"PPN Tapon ?3/4""""";Unidad;104,4692154
23/12/2024;1219;244;"Fusion Tubo Macho Ø50mm x 1"" 1/2"" Ins Met";Unidad;18.465,72
23/12/2024;1219;1891;"PPN Tapa Ø3/4""";Unidad;212,4086331
23/12/2024;1219;650;Sellador de Silicona x 300ml;Unidad;7.489,88
23/12/2024;1219;1356;Tefl?n Alta Densidad 3/4 x 40 mts ;Unidad;2.295,15
23/12/2024;1219;1900;Cinta Chapa Perforada x 30 mts;Unidad;36.918,69
23/12/2024;1219;4;Adhesivo PVC x 1000 cc;Unidad;11.795,18
23/12/2024;1219;228;Fusion Codo 90° Ø40mm;Unidad;322,5147607
23/12/2024;1219;222;Fusion Caño Ø20mm x 4 mts;Unidad;4.159,91
23/12/2024;1219;230;Fusion Cupla Ø20mm;Unidad;198,4415623
20/12/2024;1269;33;Arena x m3;metro 3;7.106,55
20/12/2024;1269;213;Flete;Unidad;18.806,86
18/12/2024;1213;1864;Mezcla de asiento Listo x 3 kg;Unidad;8.687,80
18/12/2024;1213;213;Flete;Unidad;14.034,72
16/12/2024;1212;1849;Piso Porcelanato Pulido 58x58 x m2;m2;21.110,06
16/12/2024;1212;557;Piso Porcelanato s/ Pulir 59x59 x m2;m2;12.175,98
16/12/2024;1218;816;Yeso Monocapa Proyectable x 30kg;Unidad;10.895,23
16/12/2024;1218;1563;Yeso Tradicional x 40 kg;Unidad;8.239,31
16/12/2024;1218;814;Yeso Monocapa Manual x 25kg;Unidad;8.880,85
16/12/2024;1218;116;Cemento Normal x 50 kg;Unidad;12.794,16
13/12/2024;1220;110;Caño PVC Ø110 x 3,2 x 4mts;Unidad;15.328,79
